Date,Open,High,Low,Close,Volume,Dividends
1993-03-12T05:00:00Z,2.0517907235063886,2.4621485266676206,2.0144851581825987,2.368885040283203,28573200,0
1993-03-15T05:00:00Z,2.4061899356085106,2.424842286151641,2.3129264751931053,2.3409054279327393,6580800,0
1993-03-16T05:00:00Z,2.3129263465076617,2.3502318993682114,2.256968444141752,2.284947395324707,3928800,0
1993-03-17T05:00:00Z,2.256968366051742,2.2942739176215374,2.163705767901952,2.201010465621948,3170400,0
1993-03-18T05:00:00Z,2.2569686856703743,2.2756218910217285,2.2010107773161507,2.2756218910217285,735600,0
1993-03-19T05:00:00Z,2.219663798325253,2.2756217020321934,2.219663798325253,2.2569684982299805,542400,0
1993-03-22T05:00:00Z,2.23831578304893,2.275621330716316,2.1263999938964844,2.1263999938964844,1749600,0
1993-03-23T05:00:00Z,2.1637060743132817,2.2756218910217285,2.089094960607704,2.2756218910217285,2000400,0
1993-03-24T05:00:00Z,2.238316208870997,2.275621763635471,2.163705953191921,2.2196638584136963,1009200,0
1993-03-25T05:00:00Z,2.219663436140093,2.219663436140093,2.1263999938964844,2.1263999938964844,1035600,0
1993-03-26T05:00:00Z,2.16370554156387,2.16370554156387,2.1263999938964844,2.1263999938964844,1326000,0
1993-03-29T05:00:00Z,2.1637064181129584,2.2010111270433166,2.0890952925521304,2.1170742511749268,518400,0
1993-03-30T05:00:00Z,2.16370554156387,2.16370554156387,2.089094446229099,2.1263999938964844,649200,0
1993-03-31T05:00:00Z,2.1264005867210596,2.1264005867210596,2.0704426765441895,2.0704426765441895,1665600,0
1993-04-01T05:00:00Z,2.0704426765441895,2.1264005867210596,2.051790324435215,2.0704426765441895,316800,0
1993-04-02T05:00:00Z,2.0704423864119743,2.0704423864119743,1.9212210289008085,1.977178931236267,1820400,0
1993-04-05T04:00:00Z,1.9958315843276877,2.051789471235477,1.9212204992175732,2.01448392868042,1450800,0
1993-04-06T04:00:00Z,2.0890941599409416,2.0890941599409416,2.01448392868042,2.01448392868042,1084800,0
1993-04-07T04:00:00Z,1.9771788700466093,2.033136770650285,1.9398741722106936,1.9398741722106936,1216800,0
1993-04-08T04:00:00Z,1.9212215291181565,1.9958326542247211,1.8839168204149248,1.9025691747665403,990000,0
1993-04-12T04:00:00Z,1.86526341025777,1.902568968771911,1.8466110579256785,1.8839166164398191,1232400,0
1993-04-13T04:00:00Z,1.8652632860110736,1.9025688420402616,1.8093053788922424,1.827958583831787,2005200,0
1993-04-14T04:00:00Z,1.8652636122132584,1.9025691747665403,1.8279589035100263,1.9025691747665403,3022800,0
1993-04-15T04:00:00Z,1.9025681958054053,1.9025681958054053,1.8466103076934817,1.8466103076934817,412800,0
1993-04-16T04:00:00Z,1.8466103076934817,1.9025681958054053,1.8466103076934817,1.8466103076934817,188400,0
1993-04-19T04:00:00Z,1.8839164909506183,1.8839164909506183,1.827958583831787,1.827958583831787,628800,0
1993-04-20T04:00:00Z,1.827958583831787,1.8652632860110736,1.827958583831787,1.827958583831787,214800,0
1993-04-21T04:00:00Z,1.8652628465566568,1.8652628465566568,1.7906526059262944,1.80930495262146,588000,0
1993-04-22T04:00:00Z,1.8466112578616425,1.9025691747665403,1.80930569530836,1.9025691747665403,382800,0
1993-04-23T04:00:00Z,1.9212217330932615,1.9212217330932615,1.8466114539154133,1.9212217330932615,118800,0
1993-04-26T04:00:00Z,1.9212205405595095,1.9212205405595095,1.8466103076934817,1.8466103076934817,187200,0
1993-04-27T04:00:00Z,1.8839160761918063,2.0517897605895996,1.8279581813925416,2.0517897605895996,1040400,0
1993-04-28T04:00:00Z,2.051790288687522,2.051790288687522,1.9958323794855888,2.033137083053589,348000,0
1993-04-29T04:00:00Z,1.9958322048187256,1.9958322048187256,1.9585266506656185,1.9958322048187256,319200,0
1993-04-30T04:00:00Z,1.977178664957438,2.107747655388864,1.977178664957438,2.0517897605895996,1194000,0
1993-05-03T04:00:00Z,2.051789569777887,2.163705348968506,2.051789569777887,2.163705348968506,499200,0
1993-05-04T04:00:00Z,2.163705348968506,2.163705348968506,2.107747459373196,2.163705348968506,242400,0
1993-05-05T04:00:00Z,2.107748165959058,2.3502321508773867,2.107748165959058,2.2756218910217285,1215600,0
1993-05-06T04:00:00Z,2.275621763635471,2.312926464550073,2.182358303649222,2.2196638584136963,598800,0
1993-05-07T04:00:00Z,2.219663798325253,2.312926401936921,2.219663798325253,2.2569684982299805,472800,0
1993-05-10T04:00:00Z,2.2569676934109495,2.3688834609164435,2.2569676934109495,2.3129255771636963,349200,0
1993-05-11T04:00:00Z,2.3502322406303593,2.3502322406303593,2.29427433013916,2.29427433013916,391200,0
1993-05-12T04:00:00Z,2.29427433013916,2.33157988841661,2.29427433013916,2.29427433013916,145200,0
1993-05-13T04:00:00Z,2.3315787743143086,2.3315787743143086,2.275620890561562,2.3129255771636963,303600,0
1993-05-14T04:00:00Z,2.312926682352909,2.33157988841661,2.275621977925411,2.29427433013916,204000,0
1993-05-17T04:00:00Z,2.3315787743143086,2.350231117615376,2.294273233862629,2.3129255771636963,142800,0
1993-05-18T04:00:00Z,2.350231117615376,2.350231117615376,2.3129255771636963,2.3129255771636963,802800,0
1993-05-19T04:00:00Z,2.350231456729,2.406189348555881,2.350231456729,2.387537002563477,1312800,0
1993-05-20T04:00:00Z,2.3688839846733805,2.42484188079834,2.3688839846733805,2.42484188079834,265200,0
1993-05-21T04:00:00Z,2.368885040283203,2.4061906056069926,2.368885040283203,2.368885040283203,223200,0
1993-05-24T04:00:00Z,2.387538249870155,2.387538249870155,2.368885040283203,2.368885040283203,222000,0
1993-05-25T04:00:00Z,2.3875371963539305,2.3875371963539305,2.31292609862898,2.350231647491455,372000,0
1993-05-26T04:00:00Z,2.2942741476459267,2.3129264983760134,2.2383162416057822,2.2662951946258545,844800,0
1993-05-27T04:00:00Z,2.294274114092772,2.294274114092772,2.2196638584136963,2.2196638584136963,200400,0
1993-05-28T04:00:00Z,2.219663238563815,2.2383155838123736,2.126399804621755,2.163705348968506,676800,0
1993-06-01T04:00:00Z,2.16370554156387,2.16370554156387,2.1263999938964844,2.1263999938964844,94800,0
1993-06-02T04:00:00Z,2.1450521498703137,2.163705348968506,2.126399804621755,2.163705348968506,452400,0
1993-06-03T04:00:00Z,2.1450521498703137,2.163705348968506,2.126399804621755,2.163705348968506,670800,0
1993-06-04T04:00:00Z,2.1263999938964844,2.1823578884727075,2.1263999938964844,2.1263999938964844,874800,0
1993-06-07T04:00:00Z,2.10774769740412,2.163705593318834,2.0144842529296874,2.098421096801758,1143600,0
1993-06-08T04:00:00Z,2.051789471235477,2.079768414689372,1.9585260417726305,2.01448392868042,1207200,0
1993-06-09T04:00:00Z,1.958526849746704,2.0144847597394673,1.9212212918015472,1.958526849746704,490800,0
1993-06-10T04:00:00Z,1.9585266506656185,2.0517901091234574,1.9585266506656185,1.9958322048187256,586800,0
1993-06-11T04:00:00Z,2.051790257604835,2.3129265940245975,2.0424636549291573,2.2756218910217285,2109600,0
1993-06-14T04:00:00Z,2.29427433013916,2.3502322406303593,2.2569687718617097,2.29427433013916,949200,0
1993-06-15T04:00:00Z,2.331579799375952,2.331579799375952,2.2569686856703743,2.2756218910217285,740400,0
1993-06-16T04:00:00Z,2.2569687718617097,2.29427433013916,2.2569687718617097,2.29427433013916,301200,0
1993-06-17T04:00:00Z,2.2756217020321934,2.2942740519845572,2.2569684982299805,2.2569684982299805,73200,0
1993-06-18T04:00:00Z,2.2942740519845572,2.2942740519845572,2.2569684982299805,2.2569684982299805,67200,0
1993-06-21T04:00:00Z,2.294273881025093,2.4061896800994873,2.256968330050366,2.4061896800994873,663600,0
1993-06-22T04:00:00Z,2.4061895438602994,2.4061895438602994,2.350231647491455,2.350231647491455,64800,0
1993-06-23T04:00:00Z,2.331580328809527,2.368885040283203,2.331580328809527,2.368885040283203,108000,0
1993-06-24T04:00:00Z,2.3875372715185135,2.5181054158731246,2.3315793733879997,2.499453067779541,1266000,0
1993-06-25T04:00:00Z,2.4808009395981223,2.5554120719658253,2.4434962272644043,2.4434962272644043,997200,0
1993-06-28T04:00:00Z,2.443495126524547,2.4807998220533345,2.443495126524547,2.4621474742889404,308400,0
1993-06-29T04:00:00Z,2.4434948943903576,2.462147240382762,2.350231456729,2.387537002563477,265200,0
1993-06-30T04:00:00Z,2.3502316372483048,2.42484188079834,2.3502316372483048,2.42484188079834,99600,0
1993-07-01T04:00:00Z,2.368883901921007,2.424841796091186,2.331579208374023,2.331579208374023,388800,0
1993-07-02T04:00:00Z,2.3688838027214043,2.387537002563477,2.3315791107365955,2.387537002563477,289200,0
1993-07-06T04:00:00Z,2.350231647491455,2.3875371963539305,2.350231647491455,2.350231647491455,147600,0
1993-07-07T04:00:00Z,2.3875371963539305,2.3875371963539305,2.350231647491455,2.350231647491455,360000,0
1993-07-08T04:00:00Z,2.3502319210045863,2.406189823885648,2.3129263678006,2.3968632221221924,915600,0
1993-07-09T04:00:00Z,2.424841694548286,2.424841694548286,2.387537002563477,2.387537002563477,50400,0
1993-07-12T04:00:00Z,2.424841694548286,2.424841694548286,2.387537002563477,2.387537002563477,1050000,0
