Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
TYLER BRIAN S.,Chief Executive Officer,2022-06-21,Sale,305.2,1535,468482,Jun 22 12:32 PM
TYLER BRIAN S.,Chief Executive Officer,2022-06-16,Sale,305.39,4767,1455794,Jun 17 01:04 PM
TYLER BRIAN S.,Chief Executive Officer,2022-06-13,Sale,308.31,3232,996458,Jun 14 05:48 PM
Rodgers Thomas L,"EVP, Chief Strategy & BDO",2022-06-06,Sale,316.42,160,50627,Jun 07 02:41 PM
Vitalone Britt J.,EVP & CFO,2022-06-03,Option Exercise,144.43,6324,913375,Jun 07 02:41 PM
Rodgers Thomas L,"EVP, Chief Strategy & BDO",2022-06-03,Option Exercise,0,1073,0,Jun 07 02:41 PM
Vitalone Britt J.,EVP & CFO,2022-06-03,Sale,320.02,1761,563559,Jun 07 02:41 PM
Flores Nancy,"EVP, CIO & CTO",2022-05-31,Sale,330.69,732,242065,Jun 01 06:06 PM
Faber Tracy,EVP & Chief HR Officer,2022-05-31,Sale,330.69,5380,1779112,Jun 01 06:04 PM
Schechter Lori A.,"EVP, Chief Legal Officer & GC",2022-05-31,Sale,330.69,5488,1814827,Jun 01 06:04 PM
Flores Nancy,"EVP, CIO & CTO",2022-05-27,Sale,334.07,1329,443979,Jun 01 06:06 PM
Faber Tracy,EVP & Chief HR Officer,2022-05-27,Sale,334.07,2599,868248,Jun 01 06:04 PM
Schechter Lori A.,"EVP, Chief Legal Officer & GC",2022-05-27,Sale,334.07,1350,450994,Jun 01 06:04 PM
Vitalone Britt J.,EVP & CFO,2022-05-27,Sale,333.16,27281,9088988,May 31 06:25 PM
Flores Nancy,"EVP, CIO & CTO",2022-05-26,Option Exercise,0,1207,0,May 27 06:09 PM
TYLER BRIAN S.,Chief Executive Officer,2022-05-26,Option Exercise,0,10278,0,May 27 06:10 PM
Schechter Lori A.,"EVP, Chief Legal Officer & GC",2022-05-26,Option Exercise,0,2328,0,May 27 06:09 PM
Faber Tracy,EVP & Chief HR Officer,2022-05-26,Option Exercise,0,1564,0,May 27 06:08 PM
Vitalone Britt J.,EVP & CFO,2022-05-26,Option Exercise,0,2905,0,May 27 06:09 PM
Schechter Lori A.,"EVP, Chief Legal Officer & GC",2022-05-26,Sale,330.27,24169,7982296,May 27 06:09 PM
Faber Tracy,EVP & Chief HR Officer,2022-05-26,Sale,330.27,2185,721640,May 27 06:08 PM
Rodgers Thomas L,"EVP, Chief Strategy & BDO",2022-05-26,Sale,330.27,527,174052,May 27 06:10 PM
Faber Tracy,EVP & Chief HR Officer,2022-05-25,Option Exercise,0,4288,0,May 27 06:08 PM
Vitalone Britt J.,EVP & CFO,2022-05-25,Option Exercise,0,19486,0,May 27 06:09 PM
Schechter Lori A.,"EVP, Chief Legal Officer & GC",2022-05-25,Option Exercise,0,18877,0,May 27 06:09 PM
Rodgers Thomas L,"EVP, Chief Strategy & BDO",2022-05-25,Option Exercise,0,884,0,May 27 06:10 PM
Flores Nancy,"EVP, CIO & CTO",2022-05-25,Option Exercise,0,986,0,May 27 06:09 PM
TYLER BRIAN S.,Chief Executive Officer,2022-05-25,Option Exercise,0,26923,0,May 27 06:10 PM
Rodgers Thomas L,"EVP, Chief Strategy & BDO",2022-05-24,Sale,326.9,209,68322,May 25 06:41 PM
Vitalone Britt J.,EVP & CFO,2022-05-24,Sale,325.16,4192,1363055,May 25 06:40 PM
Faber Tracy,EVP & Chief HR Officer,2022-05-24,Sale,326.9,1433,468448,May 25 06:36 PM
Schechter Lori A.,"EVP, Chief Legal Officer & GC",2022-05-24,Sale,326.9,1500,490350,May 25 06:33 PM
Schechter Lori A.,"EVP, Chief Legal Officer & GC",2022-05-21,Option Exercise,0,2707,0,May 24 04:45 PM
TYLER BRIAN S.,Chief Executive Officer,2022-05-21,Option Exercise,0,21582,0,May 24 04:44 PM
Rodgers Thomas L,"EVP, Chief Strategy & BDO",2022-05-21,Option Exercise,0,1166,0,May 24 04:42 PM
