Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
BACON ASHLEY,Chief Risk Officer,2022-04-19,Sale,130.04,21012,2732344,Apr 19 05:03 PM
Piepszak Jennifer,Co-CEO CCB,2022-04-14,Sale,126.19,4668,589051,Apr 14 05:00 PM
