Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
RITCHEY RAYMOND A,Senior EVP,2022-02-23,Sale,120.52,21102,2543120,Feb 24 11:53 AM
LINDE DOUGLAS T,President,2021-11-23,Option Exercise,100.77,34476,3474147,Nov 24 01:54 PM
LINDE DOUGLAS T,President,2021-11-23,Sale,118.58,34476,4088226,Nov 24 01:54 PM
BURT  FRANK D,"SVP, CLO and Secretary",2021-11-15,Sale,118.89,2116,251578,Nov 15 04:53 PM
KOOP BRYAN J,Executive Vice President,2021-11-09,Option Exercise,100.77,7067,712142,Nov 12 10:02 AM
Stroman John J,Senior Vice President,2021-11-08,Sale,118.29,4109,486046,Nov 10 09:29 AM
RITCHEY RAYMOND A,Senior EVP,2021-09-03,Sale,113.15,45000,5091569,Sep 07 05:18 PM
Otteni Peter V,Senior Vice President,2021-08-27,Sale,113.36,5027,569875,Aug 31 11:53 AM
