Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
STEVENS MARK A,Director,2022-06-14,Sale,158.1,113800,17991780,Jun 15 06:57 PM
STEVENS MARK A,Director,2022-06-13,Sale,158.03,113850,17991658,Jun 15 06:57 PM
Shoquist Debora,"EVP, Operations",2022-06-08,Sale,188.23,23644,4450583,Jun 09 04:46 PM
Dabiri John,Director,2022-05-27,Sale,185.59,2200,408298,Jun 01 04:30 PM
STEVENS MARK A,Director,2022-05-27,Sale,185.2,278000,51485542,Jun 01 04:28 PM
COXE TENCH,Director,2022-03-28,Sale,274.06,100000,27405720,Mar 29 07:26 PM
PERRY MARK L,Director,2022-03-18,Sale,263.8,16716,4409699,Mar 21 06:16 PM
HUANG JEN HSUN,President and CEO,2022-03-01,Option Exercise,3.62,292340,1056809,Mar 02 06:58 PM
HUANG JEN HSUN,President and CEO,2022-03-01,Sale,237.12,292340,69321000,Mar 02 06:58 PM
HUANG JEN HSUN,President and CEO,2022-01-03,Option Exercise,3.62,440000,1590600,Jan 05 05:25 PM
HUANG JEN HSUN,President and CEO,2022-01-03,Sale,302.17,440000,132954031,Jan 05 05:25 PM
Dabiri John,Director,2021-12-23,Sale,297.5,281,83598,Dec 23 07:28 PM
JONES HARVEY C,Director,2021-12-16,Sale,311.5,41484,12922266,Dec 20 04:39 PM
Dabiri John,Director,2021-12-13,Sale,302.05,247,74605,Dec 15 04:42 PM
HUANG JEN HSUN,President and CEO,2021-12-01,Option Exercise,3.62,440000,1590600,Dec 03 06:04 PM
HUANG JEN HSUN,President and CEO,2021-12-01,Sale,326.16,440000,143510725,Dec 03 06:04 PM
BURGESS ROBERT K,Director,2021-11-22,Option Exercise,3.62,5082,18397,Nov 23 06:30 PM
STEVENS MARK A,Director,2021-11-22,Sale,342.58,58000,19869647,Nov 23 06:36 PM
BURGESS ROBERT K,Director,2021-11-22,Sale,326.7,5082,1660276,Nov 23 06:30 PM
BURGESS ROBERT K,Director,2021-11-19,Option Exercise,3.62,5082,18397,Nov 23 06:30 PM
BURGESS ROBERT K,Director,2021-11-19,Sale,328.87,5082,1671313,Nov 23 06:30 PM
Drell Persis,Director,2021-11-19,Sale,326.65,10000,3266500,Nov 22 07:04 PM
SEAWELL A BROOKE,Director,2021-11-19,Sale,328.91,856,281547,Nov 22 07:01 PM
BURGESS ROBERT K,Director,2021-10-13,Option Exercise,3.62,10000,36200,Oct 14 05:21 PM
BURGESS ROBERT K,Director,2021-10-13,Sale,208.68,10000,2086813,Oct 14 05:21 PM
HUANG JEN HSUN,President and CEO,2021-09-13,Option Exercise,3.62,27660,99991,Sep 14 05:36 PM
HUANG JEN HSUN,President and CEO,2021-09-01,Option Exercise,3.62,200000,723260,Sep 03 04:07 PM
SEAWELL A BROOKE,Director,2021-09-01,Sale,224.34,20000,4486715,Sep 03 04:36 PM
HUANG JEN HSUN,President and CEO,2021-09-01,Sale,225.18,200000,45035732,Sep 03 04:07 PM
BURGESS ROBERT K,Director,2021-08-24,Option Exercise,3.62,20000,72400,Aug 26 05:15 PM
BURGESS ROBERT K,Director,2021-08-24,Sale,218.38,20000,4367600,Aug 26 05:15 PM
Drell Persis,Director,2021-08-20,Sale,203.41,10000,2034100,Aug 24 05:45 PM
HUANG JEN HSUN,President and CEO,2021-08-02,Option Exercise,3.62,400000,1446520,Aug 04 06:57 PM
HUANG JEN HSUN,President and CEO,2021-08-02,Sale,197.14,400000,78855904,Aug 04 06:57 PM
HUANG JEN HSUN,President and CEO,2021-07-01,Option Exercise,14.46,100000,1446500,Jul 06 04:35 PM
HUANG JEN HSUN,President and CEO,2021-07-01,Sale,808.9,100000,80890492,Jul 06 04:35 PM
