Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
POLEK ERIN L,"SVP, Controller & CAO",2022-05-23,Sale,129.95,1521,197654,May 23 06:21 PM
ACE HEATHER S,Chief Human Resources Officer,2022-05-20,Option Exercise,0,7023,0,May 23 06:28 PM
Palkhiwala Akash J.,Chief Financial Officer,2022-05-20,Option Exercise,0,1949,0,May 23 06:26 PM
CATHEY JAMES J,Chief Commercial Officer,2022-05-20,Option Exercise,0,3217,0,May 23 06:26 PM
POLEK ERIN L,"SVP, Controller & CAO",2022-05-20,Option Exercise,0,2322,0,May 23 06:21 PM
CATHEY JAMES J,Chief Commercial Officer,2022-05-04,Sale,145.04,1600,232064,May 06 04:15 PM
ROSENFELD IRENE B,Director,2022-03-12,Option Exercise,0,4559,0,Mar 15 04:07 PM
LIVERMORE ANN M,Director,2022-03-12,Option Exercise,0,4559,0,Mar 15 04:08 PM
Henderson Jeffrey William,Director,2022-03-12,Option Exercise,0,4559,0,Mar 15 04:08 PM
Palkhiwala Akash J.,Chief Financial Officer,2022-02-10,Sale,179.83,3100,557473,Feb 11 04:28 PM
POLEK ERIN L,"SVP, Controller & CAO",2022-02-02,Sale,180.6,68,12281,Feb 03 07:56 PM
Palkhiwala Akash J.,Chief Financial Officer,2022-01-10,Sale,180,3100,558000,Jan 11 07:00 PM
AMON CRISTIANO R,President & CEO,2021-12-13,Sale,189.5,5402,1023679,Dec 14 04:21 PM
THOMPSON JAMES H,Chief Technology Officer,2021-12-10,Sale,183.39,9900,1815526,Dec 13 05:51 PM
Palkhiwala Akash J.,Chief Financial Officer,2021-12-10,Sale,185.51,1974,366197,Dec 13 05:51 PM
ROGERS ALEXANDER H,President QTL & Global Affairs,2021-12-07,Sale,179.94,21006,3779923,Dec 08 06:55 PM
POLEK ERIN L,"SVP, Controller & CAO",2021-11-22,Sale,180.98,2847,515250,Nov 23 04:09 PM
Palkhiwala Akash J.,Chief Financial Officer,2021-11-20,Option Exercise,0,4317,0,Nov 23 04:09 PM
POLEK ERIN L,"SVP, Controller & CAO",2021-11-20,Option Exercise,0,4648,0,Nov 23 04:09 PM
AMON CRISTIANO R,President & CEO,2021-11-16,Sale,180.86,5402,976983,Nov 17 05:24 PM
ROGERS ALEXANDER H,President QTL & Global Affairs,2021-10-04,Sale,128.92,9157,1180520,Oct 05 04:21 PM
Rosenberg Donald J,General Counsel,2021-10-04,Sale,126.44,11457,1448677,Oct 05 04:29 PM
Rosenberg Donald J,General Counsel,2021-10-01,Option Exercise,0,25090,0,Oct 05 04:29 PM
THOMPSON JAMES H,Chief Technology Officer,2021-10-01,Option Exercise,0,45700,0,Oct 05 04:29 PM
AMON CRISTIANO R,President & CEO,2021-10-01,Option Exercise,0,51276,0,Oct 05 04:21 PM
ROGERS ALEXANDER H,President QTL & Global Affairs,2021-10-01,Option Exercise,0,25638,0,Oct 05 04:21 PM
Palkhiwala Akash J.,Chief Financial Officer,2021-10-01,Option Exercise,0,5225,0,Oct 05 04:21 PM
Palkhiwala Akash J.,Chief Financial Officer,2021-08-23,Option Exercise,0,14318,0,Aug 24 04:47 PM
POLEK ERIN L,"SVP, Controller & CAO",2021-08-02,Sale,150,66,9900,Aug 02 05:34 PM
