Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
PERLMAN DANA,EVP & Chief Strategy Officer,2022-04-19,Sale,80.5,455,36628,Apr 20 10:16 AM
NASELLA HENRY,Director,2021-12-08,Buy,104.15,960,99984,Dec 08 04:30 PM
Shaffer Michael A,"EVP, COO and CFO",2021-09-02,Option Exercise,72.68,8425,612348,Sep 07 04:56 PM
CHIRICO EMANUEL,Director,2021-09-02,Option Exercise,91.76,128500,11791313,Sep 07 04:59 PM
Shaffer Michael A,"EVP, COO and CFO",2021-09-02,Sale,120.96,12070,1460038,Sep 07 04:56 PM
HAGMAN MARTIJN,"CEO, PVH Europe",2021-09-02,Sale,121.37,5572,676274,Sep 07 05:00 PM
CHIRICO EMANUEL,Director,2021-09-02,Sale,119.93,139222,16697422,Sep 07 04:59 PM
