Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Clatterbuck Michelle M,EVP and CFO,2021-10-01,Option Exercise,0,1232,0,Oct 04 06:28 PM
Chriss James Alexander,"EVP, SBSEG",2021-10-01,Option Exercise,0,952,0,Oct 04 06:25 PM
Johnson Gregory N,"EVP, Consumer Group",2021-10-01,Option Exercise,0,1349,0,Oct 04 07:46 PM
FENNELL LAURA A,"EVP, People and Places",2021-10-01,Option Exercise,0,1206,0,Oct 04 07:45 PM
FLOURNOY MARK J,"SVP, Chief Accounting Officer",2021-09-29,Sale,551.33,389,214467,Sep 30 12:28 PM
Chriss James Alexander,"EVP, SBSEG",2021-09-02,Sale,562.53,2022,1137438,Sep 02 06:33 PM
Clatterbuck Michelle M,EVP and CFO,2021-09-02,Sale,562.56,9343,5256012,Sep 02 08:51 PM
Tessel Marianna,"EVP, Chief Technology Officer",2021-09-01,Option Exercise,0,4631,0,Sep 02 09:12 PM
SMITH BRAD D,Executive Chairman,2021-09-01,Option Exercise,0,83899,0,Sep 02 09:07 PM
McLean Kerry J,"EVP, Gen. Counsel & Corp. Sec.",2021-09-01,Option Exercise,0,8924,0,Sep 02 09:06 PM
Johnson Gregory N,"EVP, Consumer Group",2021-09-01,Option Exercise,0,15443,0,Sep 02 09:04 PM
Goodarzi Sasan K,"CEO, President & Board member",2021-09-01,Option Exercise,0,33979,0,Sep 02 09:02 PM
FENNELL LAURA A,"EVP, People and Places",2021-09-01,Option Exercise,0,17832,0,Sep 02 08:55 PM
Clatterbuck Michelle M,EVP and CFO,2021-09-01,Option Exercise,0,18533,0,Sep 02 08:51 PM
Chriss James Alexander,"EVP, SBSEG",2021-09-01,Option Exercise,0,4014,0,Sep 02 06:33 PM
Chriss James Alexander,"EVP, SBSEG",2021-08-31,Option Exercise,259.87,31487,8182417,Sep 02 06:33 PM
Chriss James Alexander,"EVP, SBSEG",2021-08-31,Sale,564.57,31487,17776562,Sep 02 06:33 PM
Chriss James Alexander,"EVP,  SBSEG",2021-08-27,Sale,554.61,1220,676624,Aug 30 02:59 PM
Johnson Gregory N,"EVP, Consumer Group",2021-08-26,Option Exercise,107.25,6955,745924,Aug 30 03:08 PM
Johnson Gregory N,"EVP, Consumer Group",2021-08-26,Sale,552.43,14843,8199767,Aug 30 03:08 PM
