Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Baglino Andrew D,SVP Powertrain and Energy Eng.,2021-12-05,Option Exercise,0,1786,0,Dec 07 09:20 PM
Kirkhorn Zachary,Chief Financial Officer,2021-12-05,Option Exercise,0,5624,0,Dec 07 09:02 PM
Taneja Vaibhav,Chief Accounting Officer,2021-12-05,Option Exercise,0,3283,0,Dec 07 09:11 PM
Musk Elon,CEO,2021-12-02,Option Exercise,6.24,2133441,13312672,Dec 02 09:43 PM
Musk Elon,CEO,2021-12-02,Sale,1079.29,634592,684906148,Dec 02 09:43 PM
Musk Elon,CEO,2021-12-02,Sale,1097.65,299499,328744683,Dec 02 09:45 PM
Musk Elon,CEO,2021-11-23,Option Exercise,6.24,2152681,13432729,Nov 23 09:30 PM
Musk Elon,CEO,2021-11-23,Sale,1171.04,126471,148102963,Nov 23 09:34 PM
Musk Elon,CEO,2021-11-23,Sale,1145.29,276215,316346849,Nov 23 09:33 PM
Musk Elon,CEO,2021-11-23,Sale,1114.76,308694,344120356,Nov 23 09:32 PM
Musk Elon,CEO,2021-11-23,Sale,1081.58,222711,240879277,Nov 23 09:30 PM
Kirkhorn Zachary,Chief Financial Officer,2021-11-17,Sale,1063.51,1250,1329388,Nov 19 07:02 PM
Musk Elon,CEO,2021-11-16,Option Exercise,6.24,2113761,13189869,Nov 16 08:02 PM
Musk Elon,CEO,2021-11-16,Sale,1046.73,724403,758251348,Nov 16 08:06 PM
Musk Elon,CEO,2021-11-16,Sale,1025.82,209688,215101825,Nov 16 08:02 PM
Musk Elon,CEO,2021-11-15,Option Exercise,6.24,2107672,13151873,Nov 15 08:18 PM
Musk Elon,CEO,2021-11-15,Sale,992.72,785896,780174796,Nov 15 08:18 PM
Musk Elon,CEO,2021-11-15,Sale,1015.85,148195,150543964,Nov 15 08:20 PM
Musk Elon,CEO,2021-11-12,Sale,1029.67,1200000,1235607329,Nov 12 08:28 PM
Musk Elon,CEO,2021-11-11,Sale,1098.24,52099,57217365,Nov 12 06:03 AM
Musk Elon,CEO,2021-11-11,Sale,1072.22,587638,630079728,Nov 12 06:02 AM
Musk Elon,CEO,2021-11-10,Sale,1019.03,58101,59206941,Nov 10 09:46 PM
Musk Elon,CEO,2021-11-10,Sale,1048.46,199893,209580234,Nov 10 09:47 PM
Musk Elon,CEO,2021-11-10,Sale,1068.09,242006,258484236,Nov 10 09:49 PM
