Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
STEWART MARTA R,Director,2022-06-30,Buy,93.83,170,15951,Jul 05 12:13 PM
SMITH J ALBERT JR,Director,2022-06-30,Buy,93.83,721,67653,Jul 05 12:10 PM
Smith Daniel C.,Director,2022-06-30,Buy,93.83,369,34624,Jul 05 12:07 PM
SELIG STEFAN M,Director,2022-06-30,Buy,93.83,184,17265,Jul 05 12:02 PM
Roe Peggy Fang,Director,2022-06-30,Buy,93.83,34,3190,Jul 05 11:58 AM
RODKIN GARY M,Director,2022-06-30,Buy,93.83,219,20549,Jul 05 11:56 AM
LEIBOWITZ REUBEN S,Director,2022-06-30,Buy,93.83,528,49543,Jul 05 11:54 AM
HUBBARD ALLAN B,Director,2022-06-30,Buy,93.83,427,40066,Jul 05 11:51 AM
HORN KAREN N,Director,2022-06-30,Buy,93.83,576,54047,Jul 05 11:49 AM
GLASSCOCK LARRY C,Director,2022-06-30,Buy,93.83,379,35562,Jul 05 11:47 AM
Aeppel Glyn,Director,2022-06-30,Buy,93.83,202,18954,Jul 05 11:44 AM
STEWART MARTA R,Director,2022-03-31,Buy,134.1,96,12874,Apr 04 03:34 PM
SMITH J ALBERT JR,Director,2022-03-31,Buy,134.1,464,62224,Apr 04 03:32 PM
Smith Daniel C.,Director,2022-03-31,Buy,134.1,229,30710,Apr 04 03:30 PM
SELIG STEFAN M,Director,2022-03-31,Buy,134.1,104,13947,Apr 04 03:27 PM
Roe Peggy Fang,Director,2022-03-31,Buy,134.1,5,671,Apr 04 03:23 PM
RODKIN GARY M,Director,2022-03-31,Buy,134.1,129,17299,Apr 04 03:21 PM
LEIBOWITZ REUBEN S,Director,2022-03-31,Buy,134.1,335,44924,Apr 04 03:19 PM
HUBBARD ALLAN B,Director,2022-03-31,Buy,134.1,268,35940,Apr 04 03:17 PM
HORN KAREN N,Director,2022-03-31,Buy,134.1,367,49216,Apr 04 03:15 PM
GLASSCOCK LARRY C,Director,2022-03-31,Buy,134.1,233,31246,Apr 04 03:12 PM
Aeppel Glyn,Director,2022-03-31,Buy,134.1,118,15824,Apr 04 03:10 PM
SMITH J ALBERT JR,Director,2021-12-31,Buy,160.28,384,61546,Jan 04 06:36 PM
STEWART MARTA R,Director,2021-12-31,Buy,160.28,79,12662,Jan 04 06:37 PM
RODKIN GARY M,Director,2021-12-31,Buy,160.28,107,17149,Jan 04 06:28 PM
SELIG STEFAN M,Director,2021-12-31,Buy,160.28,86,13784,Jan 04 06:31 PM
Aeppel Glyn,Director,2021-12-31,Buy,160.28,97,15547,Jan 04 06:13 PM
GLASSCOCK LARRY C,Director,2021-12-31,Buy,160.28,192,30773,Jan 04 06:16 PM
SIMON PROPERTY GROUP INC /DE/,10% Owner,2021-10-12,Buy,18,512820,9230760,Oct 14 08:37 PM
STEWART MARTA R,Director,2021-09-30,Buy,132.65,86,11408,Oct 04 11:53 AM
SMITH J ALBERT JR,Director,2021-09-30,Buy,132.65,417,55315,Oct 04 11:52 AM
Smith Daniel C.,Director,2021-09-30,Buy,132.65,206,27326,Oct 04 11:50 AM
SELIG STEFAN M,Director,2021-09-30,Buy,132.65,94,12469,Oct 04 11:51 AM
RODKIN GARY M,Director,2021-09-30,Buy,132.65,116,15387,Oct 04 11:47 AM
LEIBOWITZ REUBEN S,Director,2021-09-30,Buy,132.65,301,39928,Oct 04 11:47 AM
HUBBARD ALLAN B,Director,2021-09-30,Buy,132.65,240,31836,Oct 04 11:46 AM
HORN KAREN N,Director,2021-09-30,Buy,132.65,330,43774,Oct 04 11:43 AM
GLASSCOCK LARRY C,Director,2021-09-30,Buy,132.65,209,27724,Oct 04 11:42 AM
Aeppel Glyn,Director,2021-09-30,Buy,132.65,106,14061,Oct 04 11:40 AM
Smith Daniel C.,Director,2021-07-23,Buy,123.87,203,25146,Jul 26 03:46 PM
SMITH J ALBERT JR,Director,2021-07-23,Buy,123.87,412,51034,Jul 26 03:47 PM
STEWART MARTA R,Director,2021-07-23,Buy,123.87,85,10529,Jul 26 03:47 PM
SELIG STEFAN M,Director,2021-07-23,Buy,123.87,93,11520,Jul 26 03:46 PM
HUBBARD ALLAN B,Director,2021-07-23,Buy,123.87,238,29481,Jul 26 03:42 PM
LEIBOWITZ REUBEN S,Director,2021-07-23,Buy,123.87,297,36789,Jul 26 03:42 PM
RODKIN GARY M,Director,2021-07-23,Buy,123.87,115,14245,Jul 26 03:43 PM
HORN KAREN N,Director,2021-07-23,Buy,123.87,327,40505,Jul 26 03:42 PM
Aeppel Glyn,Director,2021-07-23,Buy,123.87,105,13006,Jul 26 03:39 PM
GLASSCOCK LARRY C,Director,2021-07-23,Buy,123.87,207,25641,Jul 26 03:39 PM
