Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
KEANE MARGARET M,See remarks,2022-06-15,Sale,30.03,70000,2102100,Jun 17 04:02 PM
MELITO DAVID P,See remarks,2022-04-18,Sale,40,1116,44640,Apr 20 04:14 PM
MELITO DAVID P,See remarks,2022-03-02,Sale,40,4141,165640,Mar 03 04:20 PM
MOTHNER JONATHAN S,See remarks,2022-03-02,Sale,40,20000,800000,Mar 03 04:19 PM
Casellas Alberto,See remarks,2022-03-01,Sale,42.47,15702,666864,Mar 03 04:19 PM
Howse Curtis,See remarks,2021-09-01,Option Exercise,27.89,32039,893471,Sep 03 04:53 PM
Whynott Paul,See remarks,2021-09-01,Option Exercise,29.79,23534,701060,Sep 03 04:53 PM
GREIG HENRY F,See remarks,2021-09-01,Option Exercise,24.06,21121,508277,Sep 03 04:53 PM
MOTHNER JONATHAN S,See remarks,2021-09-01,Option Exercise,23.81,11401,271470,Sep 03 04:54 PM
QUINDLEN THOMAS M,See remarks,2021-09-01,Option Exercise,24.55,12771,313528,Sep 03 04:54 PM
Casellas Alberto,See remarks,2021-09-01,Option Exercise,23,39977,919471,Sep 03 04:55 PM
KEANE MARGARET M,See remarks,2021-09-01,Option Exercise,29.33,118087,3463492,Sep 03 04:54 PM
KEANE MARGARET M,See remarks,2021-09-01,Sale,49.11,145747,7157210,Sep 03 04:54 PM
Casellas Alberto,See remarks,2021-09-01,Sale,49.09,39977,1962471,Sep 03 04:55 PM
QUINDLEN THOMAS M,See remarks,2021-09-01,Sale,49.09,44731,2195845,Sep 03 04:54 PM
MOTHNER JONATHAN S,See remarks,2021-09-01,Sale,49.09,31401,1541475,Sep 03 04:54 PM
GREIG HENRY F,See remarks,2021-09-01,Sale,49.09,21121,1036830,Sep 03 04:53 PM
Whynott Paul,See remarks,2021-09-01,Sale,49.09,23534,1155284,Sep 03 04:53 PM
Howse Curtis,See remarks,2021-09-01,Sale,49.09,42039,2063695,Sep 03 04:53 PM
