Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
SMITH DARLA M,Chief Accounting Officer,2021-08-09,Option Exercise,0,7468,0,Aug 11 04:29 PM
KUMAR DEVINDER,"EVP, CFO & Treasurer",2021-08-09,Option Exercise,0,19816,0,Aug 11 04:22 PM
Bergman Rick,"EVP, Computing & Graphics",2021-08-09,Option Exercise,0,51355,0,Aug 11 04:18 PM
Norrod Forrest Eugene,SVP & GM DESG,2021-08-09,Option Exercise,0,18936,0,Aug 11 04:16 PM
Papermaster Mark D,Chief Technology Officer & EVP,2021-08-09,Option Exercise,0,28338,0,Aug 11 04:13 PM
WOLIN HARRY A,"SVP, GC & Corporate Secretary",2021-08-09,Option Exercise,0,14106,0,Aug 11 04:09 PM
CALDWELL JOHN EDWARD,Director,2021-07-30,Sale,101.62,15000,1524300,Aug 03 04:11 PM
Norrod Forrest Eugene,SVP & GM DESG,2021-07-29,Option Exercise,6.98,12500,87250,Aug 02 04:09 PM
Norrod Forrest Eugene,SVP & GM DESG,2021-07-29,Sale,98.78,28500,2815163,Aug 02 04:09 PM
Papermaster Mark D,Chief Technology Officer & EVP,2021-07-15,Option Exercise,1.84,55000,101200,Jul 19 04:17 PM
Papermaster Mark D,Chief Technology Officer & EVP,2021-07-15,Sale,88.81,55000,4884543,Jul 19 04:17 PM
