Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
PEDERSON MICHAEL J,SENIOR VICE PRESIDENT,2021-09-08,Option Exercise,50.72,23008,1166966,Sep 10 06:13 PM
PEDERSON MICHAEL J,SENIOR VICE PRESIDENT,2021-09-08,Sale,129.05,23008,2969173,Sep 10 06:13 PM
WOODGRIFT RANDEL WILLIAM,SENIOR VICE PRESIDENT,2021-09-03,Option Exercise,38.4,1000,38400,Sep 08 05:28 PM
WOODGRIFT RANDEL WILLIAM,SENIOR VICE PRESIDENT,2021-09-03,Sale,129,6350,819150,Sep 08 05:28 PM
Wainer Andrea F,EXECUTIVE VICE PRESIDENT,2021-09-02,Option Exercise,42.47,9500,403500,Sep 03 05:20 PM
Wainer Andrea F,EXECUTIVE VICE PRESIDENT,2021-09-02,Sale,127.5,9500,1211250,Sep 03 05:20 PM
LANE ANDREW H,EXECUTIVE VICE PRESIDENT,2021-08-27,Option Exercise,38.4,135925,5219520,Aug 31 05:18 PM
LANE ANDREW H,EXECUTIVE VICE PRESIDENT,2021-08-27,Sale,125.47,135925,17055189,Aug 31 05:18 PM
Wainer Andrea F,EXECUTIVE VICE PRESIDENT,2021-08-17,Option Exercise,41.07,14500,595500,Aug 19 06:27 PM
Karam Sammy,SENIOR VICE PRESIDENT,2021-08-17,Option Exercise,75.9,8000,607200,Aug 19 06:29 PM
Karam Sammy,SENIOR VICE PRESIDENT,2021-08-17,Sale,125,8000,1000000,Aug 19 06:29 PM
Wainer Andrea F,EXECUTIVE VICE PRESIDENT,2021-08-17,Sale,125,14500,1812500,Aug 19 06:27 PM
Karam Sammy,SENIOR VICE PRESIDENT,2021-08-03,Option Exercise,75.9,8000,607200,Aug 05 05:40 PM
Karam Sammy,SENIOR VICE PRESIDENT,2021-08-03,Sale,122.5,8000,980000,Aug 05 05:40 PM
DALE MICHAEL D,SENIOR VICE PRESIDENT,2021-07-28,Option Exercise,50.72,17600,892672,Jul 30 05:21 PM
DALE MICHAEL D,SENIOR VICE PRESIDENT,2021-07-28,Sale,120.33,17600,2117882,Jul 30 05:21 PM
