Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Zeidel Darren,General Counsel,2022-07-28,Sale,290,111,32190,Aug 01 04:32 PM
KNIGHT LESTER B,Director,2022-05-05,Buy,286.58,14000,4012124,May 09 08:15 PM
Zeidel Darren,General Counsel,2022-03-16,Sale,308.31,82,25281,Mar 17 06:53 PM
Andersen Eric,President,2022-02-23,Sale,282.57,7500,2119282,Feb 25 06:19 PM
Neller Michael,Principal Accounting Officer,2022-02-22,Sale,285,1250,356250,Feb 24 05:45 PM
Davies Christa,Chief Financial Officer,2022-02-18,Sale,282.51,32942,9306480,Feb 22 07:26 PM
Davies Christa,Chief Financial Officer,2022-02-15,Sale,283.95,666,189111,Feb 17 05:55 PM
Davies Christa,Chief Financial Officer,2022-02-14,Sale,283.72,616,174772,Feb 15 07:36 PM
Zeidel Darren,General Counsel,2021-12-23,Sale,295,197,58115,Dec 28 04:17 PM
Spruell Byron,Director,2021-11-23,Buy,296.32,200,59264,Nov 24 04:31 PM
Neller Michael,Principal Accounting Officer,2021-11-09,Sale,298.13,2500,745338,Nov 12 05:25 PM
LOSH J MICHAEL,Director,2021-08-17,Sale,279.62,9000,2516558,Aug 19 04:14 PM
KNIGHT LESTER B,Director,2021-08-04,Buy,263.95,10000,2639545,Aug 09 11:45 AM
