Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Stone Randy Lee,"President, Mobility & Material",2022-01-14,Option Exercise,80.07,4565,365520,Jan 18 04:18 PM
Stone Randy Lee,"President, Mobility & Material",2022-01-14,Sale,85,4565,388025,Jan 18 04:18 PM
Weaver Leland,"President, Water & Protection",2022-01-13,Option Exercise,80.07,2183,174793,Jan 14 04:21 PM
Weaver Leland,"President, Water & Protection",2022-01-13,Sale,84,2183,183372,Jan 14 04:21 PM
Goss Michael G.,Controller,2022-01-03,Option Exercise,80.07,1157,92641,Jan 05 01:03 PM
Goss Michael G.,Controller,2022-01-03,Sale,81.5,1145,93318,Jan 05 01:03 PM
Lee Rose,"President, Water & Protection",2021-08-24,Option Exercise,59.87,26448,1583388,Aug 26 04:09 PM
Lee Rose,"President, Water & Protection",2021-08-24,Sale,74.37,26448,1967059,Aug 26 04:09 PM
KISSAM LUTHER C IV,Director,2021-08-05,Buy,75.94,5000,379687,Aug 06 04:18 PM
