Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Freire Maria C,Director,2022-07-29,Sale,164.59,289,47567,Aug 01 05:09 PM
Freire Maria C,Director,2022-07-28,Sale,163.04,2311,376785,Aug 01 05:09 PM
Clem Jackie B.,General Counsel & Secretary,2022-07-27,Sale,156.6,794,124340,Jul 29 04:33 PM
ALEXANDRIA REAL ESTATE EQUITIE,10% Owner,2022-06-27,Buy,1,3500000,3500000,Jun 29 04:37 PM
Richardson Stephen,Co-Chief Executive Officer,2022-05-09,Sale,171.47,5000,857350,May 11 04:32 PM
Clem Jackie B.,General Counsel & Secretary,2022-04-27,Sale,189.55,1865,353511,Apr 29 04:49 PM
Cain James P,Director,2022-03-16,Sale,193.26,425,82136,Mar 18 04:29 PM
Binda Marc E,EVP - Finance & Treasurer,2022-02-25,Sale,191.09,3234,617985,Mar 01 04:23 PM
Diamond Lawrence J,Co-Chief Operating Officer,2022-02-24,Sale,190.21,3950,751330,Feb 28 04:21 PM
Hakman Joseph,Co-Chief Operating Officer,2022-02-18,Sale,186,2435,452910,Feb 23 04:54 PM
CIRUZZI VINCENT,Chief Development Officer,2022-02-18,Sale,185.68,3593,667148,Feb 23 04:39 PM
Moglia Peter M,Co-Chief Executive Officer,2022-02-17,Sale,186.26,2750,512210,Feb 18 05:11 PM
Moglia Peter M,Co-Chief Executive Officer,2022-02-16,Sale,185.47,2750,510040,Feb 18 05:11 PM
Kass Hunter,EVP - Regional Market Director,2022-02-16,Sale,184.96,5544,1025418,Feb 18 05:02 PM
Nemeth Terezia C,EVP - Regional Market Director,2022-02-09,Sale,189.84,2500,474600,Feb 11 04:19 PM
Cunningham John H,EVP - Regional Market Director,2022-02-08,Sale,185.77,4059,754040,Feb 10 04:29 PM
Kass Hunter,EVP - Regional Market Director,2022-02-07,Sale,188.89,5544,1047206,Feb 09 04:43 PM
Gavinet Andres,Chief Accounting Officer,2022-02-07,Sale,189,6487,1226043,Feb 09 04:39 PM
Ryan Daniel J,Co-Chief Investment Officer,2021-08-23,Sale,206.9,10000,2068966,Aug 25 05:05 PM
MARCUS JOEL S,Executive Chairman,2021-08-09,Sale,207.61,7500,1557075,Aug 11 05:22 PM
Moglia Peter M,Co-Chief Executive Officer,2021-08-09,Sale,209.02,12500,2612750,Aug 10 05:25 PM
Moglia Peter M,Co-Chief Executive Officer,2021-08-06,Sale,208.26,12500,2603250,Aug 10 05:25 PM
MARCUS JOEL S,Executive Chairman,2021-08-02,Sale,202.63,5000,1013150,Aug 04 05:02 PM
Clem Jackie B.,General Counsel & Secretary,2021-07-30,Sale,201.58,2450,493871,Aug 03 04:41 PM
CIRUZZI VINCENT,Chief Development Officer,2021-07-30,Sale,202.13,6016,1216014,Aug 03 04:39 PM
Richardson Stephen,Co-Chief Executive Officer,2021-07-30,Sale,201.83,15000,3027450,Aug 03 04:37 PM
Nemeth Terezia C,EVP - Regional Market Director,2021-07-29,Sale,199.94,1400,279916,Aug 02 04:46 PM
Shigenaga Dean A,President and CFO,2021-07-29,Sale,200.07,27000,5401890,Aug 02 04:47 PM
Diamond Lawrence J,Co-Chief Operating Officer,2021-07-29,Sale,200.58,1500,300870,Aug 02 04:45 PM
Hakman Joseph,Co-Chief Operating Officer,2021-07-29,Sale,199.96,2808,561488,Aug 02 04:46 PM
MARCUS JOEL S,Executive Chairman,2021-07-29,Sale,200,15000,3000000,Jul 30 04:42 PM
MARCUS JOEL S,Executive Chairman,2021-07-28,Sale,200.02,5000,1000100,Jul 30 04:42 PM
Binda Marc E,EVP - Finance & Treasurer,2021-07-28,Sale,200,5230,1046000,Jul 30 04:41 PM
Cunningham John H,EVP - Regional Market Director,2021-07-28,Sale,198.75,8000,1590000,Jul 30 04:42 PM
