Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Genovese Yvonne,"EVP, Global Product Management",2021-11-15,Option Exercise,0,315,0,Nov 17 04:44 PM
Kranich Robin B,EVP & CHRO,2021-11-10,Option Exercise,126.39,20544,2596474,Nov 15 05:04 PM
HALL EUGENE A,CEO,2021-11-09,Sale,337.09,28937,9754277,Nov 10 05:36 PM
HALL EUGENE A,CEO,2021-11-08,Option Exercise,114.26,81987,9367835,Nov 10 05:36 PM
FUCHS ANNE SUTHERLAND,Director,2021-11-05,Sale,329.25,872,287106,Nov 09 04:49 PM
Herkes Claire,"EVP, Conferences",2021-09-15,Option Exercise,0,206,0,Sep 17 04:16 PM
Hensel Scott,EVP Global Services & Delivery,2021-09-03,Sale,312.5,3177,992812,Sep 08 04:53 PM
Kaufman Jules,"EVP, GC",2021-08-30,Option Exercise,0,1558,0,Sep 01 05:00 PM
Harris Michael P,"EVP, Research & Advisory",2021-08-30,Option Exercise,0,847,0,Sep 01 04:51 PM
Safian Craig,EVP & CFO,2021-08-30,Sale,307.4,4267,1311694,Sep 01 05:03 PM
Dawkins Alwyn,"EVP, Global Business Sales",2021-08-25,Option Exercise,80.06,21675,1735300,Aug 27 04:45 PM
Dawkins Alwyn,"EVP, Global Business Sales",2021-08-23,Sale,304.71,1700,518007,Aug 25 05:05 PM
DYKSTRA KAREN E,Director,2021-08-20,Sale,302.93,1350,408956,Aug 24 06:09 PM
Diliberto Michael Patrick,"EVP, Chief Information Officer",2021-08-18,Sale,310.97,3942,1225832,Aug 20 04:43 PM
Beck Joseph P.,"EVP, Global Technology Sales",2021-08-16,Sale,306.41,854,261674,Aug 16 04:50 PM
Beck Joseph P.,"EVP, Global Technology Sales",2021-08-12,Option Exercise,154.31,3068,473423,Aug 16 04:50 PM
Beck Joseph P.,"EVP, Global Technology Sales",2021-08-12,Sale,303.36,1458,442299,Aug 16 04:50 PM
Harris Michael P,"EVP, Research & Advisory",2021-08-11,Sale,295.71,2060,609163,Aug 12 04:34 PM
Dawkins Alwyn,"EVP, Global Business Sales",2021-08-11,Sale,295,2462,726290,Aug 12 04:25 PM
Dawkins Alwyn,"EVP, Global Business Sales",2021-08-10,Option Exercise,0,373,0,Aug 12 04:25 PM
Kranich Robin B,EVP & CHRO,2021-08-10,Option Exercise,0,373,0,Aug 12 04:19 PM
