Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Robertson Donald F Jr,Principal Accounting Officer,2025-03-21,Sale,116.80,4500,-525585,479428,Mar 25 05:21 PM
Shah Aarti S.,Dir,2025-03-20,Sale,118.42,20000,-2368377,53208,Mar 21 08:44 PM
Kress Colette,"EVP, CFO",2025-03-21,Sale,116.83,66660,-7787993,5557111,Mar 21 08:42 PM
Burgess Robert K,Dir,2025-03-13,Sale,115.49,53324,-6158405,251044,Mar 17 06:00 PM
Dabiri John,Dir,2025-03-10,Sale,110.00,2663,-292930,17279,Mar 12 06:52 PM
Puri Ajay K,"EVP, Worldwide Field Ops",2025-01-06,Sale,151.11,36695,-5544783,4808573,Jan 08 06:04 PM
Coxe Tench,Dir,2024-12-16,Sale,131.26,1000000,-131263863,32578208,Dec 18 05:42 PM
Kress Colette,"EVP, CFO",2024-12-13,Sale,135.40,66670,-9027318,5594604,Dec 13 07:52 PM
Robertson Donald F Jr,Principal Accounting Officer,2024-12-13,Sale,135.28,4500,-608775,480899,Dec 13 07:48 PM
Dabiri John,Dir,2024-11-25,Sale,142.00,716,-101672,19942,Nov 27 04:59 PM
Stevens Mark A,Dir,2024-10-09,Sale,132.28,155000,-20502579,38272685,Oct 11 05:42 PM
Stevens Mark A,Dir,2024-10-03,Sale,122.61,125000,-15325950,38427685,Oct 07 05:27 PM
Stevens Mark A,Dir,2024-09-27,Sale,121.01,40000,-4840356,38552685,Oct 01 04:19 PM
Stevens Mark A,Dir,2024-09-24,Sale,121.27,165100,-20021429,38592685,Sep 26 05:22 PM
Coxe Tench,Dir,2024-09-19,Sale,117.87,2000000,-235741095,34578208,Sep 23 04:45 PM
Robertson Donald F Jr,Principal Accounting Officer,2024-09-20,Sale,116.51,4500,-524293,492409,Sep 20 09:11 PM
Kress Colette,"EVP, CFO",2024-09-20,Sale,116.59,66670,-7772851,5729894,Sep 20 09:10 PM
Huang Jen Hsun,"Pres, CEO",2024-09-12,Sale,118.97,240000,-28551919,861019236,Sep 16 04:22 PM
Huang Jen Hsun,"Pres, CEO",2024-09-10,Sale,109.39,240000,-26252485,861259236,Sep 12 08:04 PM
Huang Jen Hsun,"Pres, CEO",2024-09-06,Sale,104.35,240000,-25044854,861499236,Sep 10 06:52 PM
Huang Jen Hsun,"Pres, CEO",2024-09-04,Sale,107.52,240000,-25805490,861739236,Sep 06 04:45 PM
Huang Jen Hsun,"Pres, CEO",2024-08-30,Sale,114.90,240000,-27574820,861979236,Sep 04 05:23 PM
Huang Jen Hsun,"Pres, CEO",2024-08-08,Sale,103.82,240000,-24915914,862218395,Aug 12 05:06 PM
Huang Jen Hsun,"Pres, CEO",2024-08-06,Sale,104.46,240000,-25069567,862458395,Aug 08 05:02 PM
Huang Jen Hsun,"Pres, CEO",2024-08-02,Sale,102.54,240000,-24609476,862698395,Aug 06 04:20 PM
Huang Jen Hsun,"Pres, CEO",2024-07-31,Sale,114.28,240000,-27426748,862938395,Aug 02 04:45 PM
Huang Jen Hsun,"Pres, CEO",2024-07-29,Sale,109.93,240000,-26383025,863178395,Jul 31 04:33 PM
Huang Jen Hsun,"Pres, CEO",2024-07-25,Sale,113.40,240000,-27216126,863418395,Jul 29 06:08 PM
Huang Jen Hsun,"Pres, CEO",2024-07-23,Sale,120.29,240000,-28869762,863658395,Jul 25 05:09 PM
Huang Jen Hsun,"Pres, CEO",2024-07-19,Sale,120.65,240000,-28954933,863898395,Jul 23 04:54 PM
Huang Jen Hsun,"Pres, CEO",2024-07-17,Sale,119.50,240000,-28679816,864138395,Jul 19 04:33 PM
Huang Jen Hsun,"Pres, CEO",2024-07-15,Sale,127.66,240000,-30638085,864378395,Jul 17 04:59 PM
Stevens Mark A,Dir,2024-07-12,Sale,129.82,156023,-20254063,38757785,Jul 15 04:59 PM
Puri Ajay K,"EVP, Worldwide Field Ops",2024-07-12,Sale,130.10,100110,-13023949,4968721,Jul 15 04:59 PM
Huang Jen Hsun,"Pres, CEO",2024-07-11,Sale,130.28,240000,-31266275,864618395,Jul 15 04:58 PM
Huang Jen Hsun,"Pres, CEO",2024-07-09,Sale,132.77,240000,-31864601,864858395,Jul 11 04:28 PM
Stevens Mark A,Dir,2024-07-09,Sale,132.48,785000,-103998016,38913808,Jul 11 04:27 PM
