Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Numoto Takeshi,"EVP, CMO",2024-12-09,Sale,447.41,2500,-1118530,49352,Dec 10 06:21 PM
Numoto Takeshi,"EVP, CMO",2024-12-04,Sale,437.32,2000,-874634,51852,Dec 05 05:53 PM
Numoto Takeshi,"EVP, CMO",2024-11-27,Sale,428.76,3500,-1500663,53852,Dec 02 06:02 PM
Numoto Takeshi,"EVP, CMO",2024-11-22,Sale,414.72,1000,-414720,57511,Nov 25 06:09 PM
Althoff Judson,"EVP, Chief Commercial Officer",2024-11-22,Sale,417.00,25000,-10425000,117294,Nov 25 06:08 PM
Young Christopher David,"EVP, Business Development",2024-11-12,Sale,423.66,7200,-3050340,104866,Nov 12 06:17 PM
Numoto Takeshi,"EVP, CMO",2024-09-10,Sale,411.04,2500,-1027608,50000,Sep 11 06:07 PM
Hogan Kathleen T,"EVP, Chief HR Off",2024-09-10,Sale,411.85,17378,-7156892,150161,Sep 11 06:07 PM
Smith Bradford L,"Vice Chair, Pres",2024-09-09,Sale,402.59,40000,-16103553,532347,Sep 11 06:06 PM
Hood Amy,"EVP, CFO",2024-09-05,Sale,410.55,38000,-15600794,496369,Sep 06 06:04 PM
Nadella Satya,CEO,2024-09-04,Sale,408.63,78353,-32017224,864327,Sep 05 06:05 PM
Nadella Satya,CEO,2024-08-23,Sale,417.41,14398,-6009898,786933,Aug 26 06:01 PM
Numoto Takeshi,"EVP, CMO",2024-05-31,Sale,416.14,566,-235535,47011,Jun 04 06:00 PM
Althoff Judson,"EVP, Chief Commercial Officer",2024-05-23,Sale,425.68,25000,-10641950,104949,May 24 06:00 PM
Hogan Kathleen T,"EVP, Chief HR Off",2024-03-11,Sale,403.96,21955,-8869076,159764,Mar 12 06:16 PM
Althoff Judson,"EVP, Chief Commercial Officer",2024-03-11,Sale,403.65,10000,-4036490,129949,Mar 12 06:15 PM
Nadella Satya,CEO,2024-03-01,Sale,410.94,1276,-524359,801331,Mar 04 06:15 PM
Smith Bradford L,"Vice Chair, Pres",2024-02-02,Sale,411.39,48303,-19871431,570826,Feb 06 06:14 PM
Hogan Kathleen T,"EVP, Chief HR Off",2023-12-08,Sale,369.00,24681,-9107283,183761,Dec 11 06:43 PM
Hogan Kathleen T,"EVP, HR",2023-09-01,Sale,327.37,26815,-8778350,198373,Sep 05 06:10 PM
Nadella Satya,CEO,2023-09-01,Sale,328.43,38234,-12557161,800668,Sep 05 06:09 PM
Smith Bradford L,"Vice Chair, Pres",2023-08-01,Sale,337.20,50000,-16860105,588084,Aug 02 06:01 PM
List Teri,Dir,2023-06-02,Sale,334.77,1250,-418463,1282,Jun 05 06:06 PM
Capossela Christopher C,"EVP, CMO",2023-05-18,Sale,316.87,5000,-1584354,90632,May 19 06:03 PM
Capossela Christopher C,"EVP, CMO",2023-05-16,Sale,312.54,5081,-1588024,95632,May 17 06:09 PM
Capossela Christopher C,"EVP, CMO",2023-05-09,Sale,310.62,9177,-2850529,102333,May 10 06:03 PM
Capossela Christopher C,"EVP, CMO",2023-05-05,Sale,310.05,5000,-1550250,111510,May 08 06:22 PM
Althoff Judson,"EVP, Chief Commercial Officer",2023-05-01,Sale,306.09,30000,-9182700,117456,May 02 06:01 PM
