Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Herrington Douglas J,CEO Worldwide Amazon Stores,2025-04-01,Sale,187.99,2500,-469975,516062,Apr 03 05:16 PM
Herrington Douglas J,CEO Worldwide Amazon Stores,2025-03-03,Sale,213.17,2500,-532925,518557,Mar 05 04:38 PM
Jassy Andrew R,"Pres, CEO",2025-02-21,Sale,220.65,20784,-4586006,2194288,Feb 25 06:12 PM
Herrington Douglas J,CEO Worldwide Amazon Stores,2025-02-21,Sale,222.47,6104,-1357967,521057,Feb 25 06:04 PM
Olsavsky Brian T,"SVP, CFO",2025-02-21,Sale,223.14,14620,-3262307,50564,Feb 25 05:57 PM
Zapolsky David,SVP,2025-02-21,Sale,218.25,25060,-5469364,49950,Feb 25 05:49 PM
Reynolds Shelley,VP,2025-02-21,Sale,222.47,8833,-1965107,122436,Feb 25 05:41 PM
Garman Matthew S,CEO Amazon Web Services,2025-02-21,Sale,220.69,15240,-3363292,334909,Feb 25 05:33 PM
Herrington Douglas J,CEO Worldwide Amazon Stores,2025-02-18,Sale,228.44,5501,-1256672,511901,Feb 19 04:46 PM
Herrington Douglas J,CEO Worldwide Amazon Stores,2025-02-12,Sale,230.27,27500,-6332368,503650,Feb 14 04:33 PM
Rubinstein Jonathan,Dir,2024-12-09,Sale,229.85,4351,-1000077,88203,Dec 11 05:10 PM
Rubinstein Jonathan,Dir,2024-12-04,Sale,219.85,4549,-1000098,92554,Dec 06 04:53 PM
Herrington Douglas J,CEO Worldwide Amazon Stores,2024-12-02,Sale,210.00,3500,-735000,531149,Dec 04 05:41 PM
Jassy Andrew R,"Pres, CEO",2024-11-21,Sale,200.17,20784,-4160373,2163110,Nov 25 04:48 PM
Herrington Douglas J,CEO Worldwide Amazon Stores,2024-11-21,Sale,200.20,6104,-1221989,534649,Nov 25 04:39 PM
Olsavsky Brian T,"SVP, CFO",2024-11-21,Sale,202.88,14600,-2962048,50562,Nov 25 04:32 PM
Zapolsky David,SVP,2024-11-21,Sale,200.23,11680,-2338661,60390,Nov 25 04:26 PM
