Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Hennessy John L.,Dir,2025-04-14,Sale,161.90,200,-32379,36301,Apr 14 05:16 PM
Pichai Sundar,CEO,2025-04-02,Sale,158.56,32500,-5153133,3169425,Apr 04 04:49 PM
O'Toole Amie Thuener,"VP, Chief Accounting Officer",2025-04-01,Sale,155.33,673,-104537,66906,Apr 01 05:54 PM
Arnold Frances,Dir,2025-03-28,Sale,162.42,111,-18029,21412,Mar 31 04:33 PM
Walker John Kent,"Pres, Global Affairs, CLO",2025-03-27,Sale,166.84,11764,-1962700,194764,Mar 27 05:43 PM
Hennessy John L,Dir,2025-03-13,Sale,165.53,200,-33107,36493,Mar 13 06:49 PM
O'Toole Amie Thuener,"VP, Chief Accounting Officer",2025-03-03,Sale,173.47,1374,-238348,48340,Mar 03 06:47 PM
Arnold Frances,Dir,2025-02-28,Sale,170.30,121,-20606,21519,Feb 28 01:23 PM
Porat Ruth,"Pres, Chief Invs. Officer",2025-02-21,Sale,183.48,17690,-3245778,2076753,Feb 21 07:48 PM
Walker John Kent,"Pres, Global Affairs, CLO",2025-02-18,Sale,185.51,17690,-3281684,216769,Feb 20 12:12 PM
Shriram Kavitark Ram,Dir,2025-02-18,Sale,184.88,53066,-9810567,4850987,Feb 19 01:22 PM
O'Toole Amie Thuener,"VP, Chief Accounting Officer",2025-02-18,Sale,187.43,2824,-529302,51104,Feb 19 11:11 AM
O'Toole Amie Thuener,"VP, Chief Accounting Officer",2025-02-03,Sale,202.08,1340,-270787,53928,Feb 03 04:57 PM
Shriram Kavitark Ram,Dir,2025-01-31,Sale,205.00,26000,-5330000,4904053,Jan 31 05:50 PM
Arnold Frances,Dir,2025-01-30,Sale,200.00,110,-22000,21640,Jan 30 02:53 PM
O'Toole Amie Thuener,"VP, Chief Accounting Officer",2025-01-15,Sale,194.32,2834,-550703,56692,Jan 15 06:45 PM
Hennessy John L,Dir,2025-01-13,Sale,189.80,1500,-284693,36798,Jan 13 07:57 PM
O'Toole Amie Thuener,"VP, Chief Accounting Officer",2025-01-02,Sale,191.55,1368,-262040,59526,Jan 03 02:29 PM
Walker John Kent,"Pres, Global Affairs, CLO",2024-12-30,Sale,192.62,16820,-3239916,216768,Jan 02 03:19 PM
Arnold Frances,Dir,2024-12-31,Sale,192.49,111,-21366,21749,Jan 02 02:37 PM
O'Toole Amie Thuener,"VP, Chief Accounting Officer",2024-12-16,Sale,197.55,2834,-559850,53997,Dec 17 09:20 PM
Hennessy John L,Dir,2024-12-12,Sale,194.22,1500,-291336,38185,Dec 13 06:18 PM
Shriram Kavitark Ram,Dir,2024-12-10,Sale,185.02,72500,-13413721,4930046,Dec 10 08:49 PM
O'Toole Amie Thuener,"VP, Chief Accounting Officer",2024-12-02,Sale,170.41,1367,-232950,65091,Dec 02 06:19 PM
Arnold Frances,Dir,2024-11-29,Sale,169.98,111,-18868,21854,Dec 02 05:39 PM
Pichai Sundar,CEO,2024-11-20,Sale,176.67,22500,-3975018,2662156,Nov 21 04:55 PM
O'Toole Amie Thuener,"VP, Chief Accounting Officer",2024-11-15,Sale,175.86,2835,-498563,67852,Nov 18 04:16 PM
